VidhuG,1,9080,0,,,0,0,0,none,0,y,no robot present,0.0s,b'robot not present'
CharlieK,1,8749,8,,,4,0,0,none,1,y,They just stopped moving after shooting in auto for a solid 20-30 seconds,0.0s,"b""The robot just like froze in place for a solid 20 to 30 seconds after it shot in auto, looked like a failure. They did recover though eventually seemingly on their own. Pretty consistent shooting from what I've seen. No climbing at all."""
JeremiahX,1,10518,0,,,0,0,0,none,0,y,The robot basically didn't move the whole match,0.0s,"b'The robot pretty much just stayed in the same position the whole time, not doing a single thing'"
MichaelW,1,148,6,,,15,0,0,none,0,,0.0s,"b'Shoved fuel three times, drive is struggling with trapezoidal drivetrain, fuel leaks out of their intake constantly, no roof ontop, good for when playing defense.'"
AyanI,1,9121,0,,,0,0,y,0,none,0,y,driving,0.0s,"b'no auto, just bulldozed oar a majority of a match, defense was decent and aimed to stop trench entering. SEemed to have driving issues and rocked a lot.'"
EstherK,1,2728,5,,,0,0,y,0,none,2,,0.0s,"b""Didn't move in auto until the very end. Seemed unstable (fuel got caught under robot?) Gave up on offense and went over to the blue side. Didn't do much- moved around field on the blue side through plowing but had no effect. Intake was out and hit opposing robot twice. """
VidhuG,2,5503,4,"[{""x"":642,""y"":200,""t"":1766683271}]","{""R1"":0,""R2"":0,""R3"":0,""R4"":0,""B1"":0,""B2"":1,""B3"":0,""B4"":0}",0,0,y,0,none,0,,0.0s,b'minimal/really weak defense- intake failed'
MichaelW,2,1296,0,"[{""x"":723,""y"":323,""t"":1772815630}]","{""R1"":0,""R2"":0,""R3"":0,""R4"":0,""B1"":0,""B2"":0,""B3"":0,""B4"":1}",33,0,0,none,0,,0.0s,"b'Indexer jams a bunch, seems wobbly, Drives slowly '"
JeremiahX,2,4610,0,,,6,0,0,none,0,,0.0s,"b'For the first half of the match, the robot failed to shoot any fuel'"
EstherK,2,6672,0,"[{""x"":119,""y"":281,""t"":1766685148},{""x"":144,""y"":236,""t"":1766685149},{""x"":101,""y"":252,""t"":1766685160},{""x"":149,""y"":272,""t"":1766685162}]","{""R1"":0,""R2"":0,""R3"":4,""R4"":0,""B1"":0,""B2"":0,""B3"":0,""B4"":0}",39,0,0,none,0,,0.0s,"b""Super inconsistent shooting- overshot and undershot a ton but mostly undershot. Shooting was also slow. Did not attempt climb. Tried going over the bump but was unsuccessful. Shorter robot so couldn't hold too many fuel at once compared to other robots."""
AyanI,2,10014,0,"[{""x"":178,""y"":157,""t"":1747994901},{""x"":192,""y"":199,""t"":1747994903},{""x"":194,""y"":232,""t"":1747994983},{""x"":197,""y"":210,""t"":1747994984}]","{""R1"":0,""R2"":2,""R3"":2,""R4"":0,""B1"":0,""B2"":0,""B3"":0,""B4"":0}",22,0,0,none,2,,0.0s,"b""got stck on buump two diff times and had a very good intake. However, the shooter was decently acurate and limited to hub shooter. Drives hyper-agressive. Still a good bot. Also auto went to the middle and then didn't intake any balls, only pushed. More potential within auto, however."""
CharlieK,2,6171,0,"[{""x"":153,""y"":243,""t"":1772815601},{""x"":133,""y"":154,""t"":1772815603}]","{""R1"":0,""R2"":1,""R3"":1,""R4"":0,""B1"":0,""B2"":0,""B3"":0,""B4"":0}",2,0,0,none,0,y,Three or so balls got stuck in their intake so they couldn't intake for the latter majority of the match,0.0s,"b""They were kind of not helpful to their alliance, three balls got stuck in their intake so they couldn't intake for the later part of the match. They seemed to try to shoot for the first part of the match but no balls were shot. Shot very few balls overall. Also kind of sluggish moving and slow."""
CharlieK,3,7271,0,,,0,0,0,none,0,,0.0s,"b""They didn't show up to the match :("""
